#oghma_csv {"title":"Box file","type":"box","x_label":"Position","y_label":"Position","data_label":"Position","x_units":"m","y_units":"m","rgb":"0000ff","data_units":"m","x_len":1,"y_len":6,"z_len":1,"cols":"box"}*
#
0.000000e+00 3.224900e-03 2.400000e-07
0.000000e+00 0.000000e+00 2.400000e-07
0.000000e+00 0.000000e+00 2.300000e-07


3.224900e-03 0.000000e+00 2.300000e-07
3.224900e-03 3.224900e-03 2.300000e-07
3.224900e-03 3.224900e-03 2.400000e-07
3.224900e-03 0.000000e+00 2.400000e-07
3.224900e-03 0.000000e+00 2.300000e-07


0.000000e+00 0.000000e+00 2.300000e-07
3.224900e-03 0.000000e+00 2.300000e-07
3.224900e-03 0.000000e+00 2.400000e-07
0.000000e+00 0.000000e+00 2.400000e-07
0.000000e+00 0.000000e+00 2.300000e-07


0.000000e+00 3.224900e-03 2.300000e-07
3.224900e-03 3.224900e-03 2.300000e-07
3.224900e-03 3.224900e-03 2.400000e-07
0.000000e+00 3.224900e-03 2.400000e-07
0.000000e+00 3.224900e-03 2.300000e-07


0.000000e+00 0.000000e+00 2.300000e-07
3.224900e-03 0.000000e+00 2.300000e-07
3.224900e-03 3.224900e-03 2.300000e-07
0.000000e+00 3.224900e-03 2.300000e-07
0.000000e+00 0.000000e+00 2.300000e-07


0.000000e+00 0.000000e+00 2.400000e-07
3.224900e-03 0.000000e+00 2.400000e-07
3.224900e-03 3.224900e-03 2.400000e-07
0.000000e+00 3.224900e-03 2.400000e-07
0.000000e+00 0.000000e+00 2.400000e-07


#Ag-(0,0)
0.000000e+00 0.000000e+00 2.400000e-07
0.000000e+00 3.224900e-03 2.400000e-07
0.000000e+00 3.224900e-03 3.400000e-07
0.000000e+00 0.000000e+00 3.400000e-07
0.000000e+00 0.000000e+00 2.400000e-07


3.224900e-03 0.000000e+00 2.400000e-07
3.224900e-03 3.224900e-03 2.400000e-07
3.224900e-03 3.224900e-03 3.400000e-07
3.224900e-03 0.000000e+00 3.400000e-07
3.224900e-03 0.000000e+00 2.400000e-07


0.000000e+00 0.000000e+00 2.400000e-07
3.224900e-03 0.000000e+00 2.400000e-07
3.224900e-03 0.000000e+00 3.400000e-07
0.000000e+00 0.000000e+00 3.400000e-07
0.000000e+00 0.000000e+00 2.400000e-07


0.000000e+00 3.224900e-03 2.400000e-07
3.224900e-03 3.224900e-03 2.400000e-07
3.224900e-03 3.224900e-03 3.400000e-07
0.000000e+00 3.224900e-03 3.400000e-07
0.000000e+00 3.224900e-03 2.400000e-07


0.000000e+00 0.000000e+00 2.400000e-07
3.224900e-03 0.000000e+00 2.400000e-07
3.224900e-03 3.224900e-03 2.400000e-07
0.000000e+00 3.224900e-03 2.400000e-07
0.000000e+00 0.000000e+00 2.400000e-07


0.000000e+00 0.000000e+00 3.400000e-07
3.224900e-03 0.000000e+00 3.400000e-07
3.224900e-03 3.224900e-03 3.400000e-07
0.000000e+00 3.224900e-03 3.400000e-07
0.000000e+00 0.000000e+00 3.400000e-07


